#DeCS_code	Term_Spanish	Synonyms
55831	Prunus persica	Duraznero|Durazno|Duraznos|Melocotonero|Melocotones|Melocotón|duraznero|durazno|duraznos|melocotonero|melocotones|melocotón
55832	Firmicutes	-
55833	Clostridiales	-
55834	virus fúngicos	Micovirus|Virus Fúngicos|Virus de Hongos|micovirus|virus de hongos
55836	linfoma plasmablástico	Linfoma Plasmablástico
55837	carcinoma secretor análogo al mamario	Carcinoma Secretor Análogo al Mamario|Carcinoma Secretor Análogo al de Mama|Carcinoma Secretor Análogo al de la Mama
55838	neoplasias de mama unilaterales	Cáncer Mamario Unilateral|Cáncer de Mama Unilateral|Neoplasia de la Mama Derecha|Neoplasia de la Mama Izquierda|Neoplasias Unilaterales de Mama|Neoplasias Unilaterales de la Mama|Neoplasias de Mama Derecha|Neoplasias de Mama Izquierda|Neoplasias de Mama Unilaterales|Neoplasias de la Mama Derecha|Neoplasias de la Mama Izquierda
55839	encefalitis infecciosa	Encefalitis Infecciosa
55840	epilepsia resistente a los medicamentos	Epilepsia Rebelde|Epilepsia Refractaria|Epilepsia Resistente a los Medicamentos|epilepsia rebelde
55841	hipofisitis autoinmunitaria	Hipofisitis Autoinmune
55842	canaliculitis	Canaliculitis
55843	riñones fusionados	Riñón Fusionado
55844	acné conglobata	Acne Conglobata
55845	malnutrición aguda grave	Desnutrición Aguda Severa
55846	obesidad metabólicamente benigna	Obesidad Metabólica Benigna
55847	hipersensibilidad a los mariscos	Hipersensibilidad a los Mariscos
55848	eventración	Hernia Incisional
55849	trastornos de aparición tardía	Enfermedades de Inicio Tardío
55850	recrudecimiento de los síntomas	Agudización de los Síntomas|Brote de los Síntomas|Exacerbación de los Síntomas|Reagudización de los Síntomas|Recrudecimiento de los Síntomas
55851	efectos adversos a largo plazo	Efectos Adversos a Largo Plazo
55852	fatiga por compasión	Desgaste por Empatía
55853	daños provocados por el frio	Lesión por Frío
55854	fracturas múltiples	Fracturas Múltiples
55855	lesiones de guerra	Heridas Relacionadas con la Guerra
55856	bortezomib	Bortezomib
55857	combinación medicamentosa de albuterol e ipratropio	Combinación Albuterol y Ipratropio
55858	xinafoato de salmeterol	Xinafoato de Salmeterol
55859	combinación medicamentosa de fluticasona y salmeterol	Advair|Advair Diskus|Advair HFA|Combinación Fluticasona Propionato-Salmeterol|Combinación Fluticasona Propionato-Salmeterol Xinafoato|Combinación Fluticasona Salmeterol|Combinación Fluticasona y Salmeterol|Combinación Fluticasona-Salmeterol|Combinación Medicamentosa Fluticasona Propionato Salmeterol|Combinación Medicamentosa Fluticasona Propionato Salmeterol Xinofoato|Combinación Medicamentosa Fluticasona Propionato-Salmeterol Xinafoato|Combinación Medicamentosa Fluticasona Salmeterol|Combinación Medicamentosa de Fluticasona-Salmeterol|Combinación Propionato de Fluticasona y Xinafoato de Salmeterol|Fluticasona Propionato Salmeterol|Fluticasona Propionato-Salmeterol|Fluticasona Propionato-Salmeterol Xinafoato|Fluticasona Salmeterol|Propionato de Fluticasona y Xinafoato de Salmeterol|Seretide|combinación medicamentosa de propionato de fluticasona y xinafoato de salmeterol
55860	fumarato de formoterol	Fumarato de Formoterol
55861	combinación medicamentosa de budesonida y fumarato de formoterol	Combinación Budesonida y Fumarato de Formoterol
55862	combinación medicamentosa de furoato de mometasona y fumarato de formoterol	Combinación Furoato de Mometasona y Fumarato de Formoterol
55863	nebivolol	Nebivolol
55864	tartrato de tolterodina	Tartrato de Tolterodina
55865	combinación medicamentosa de tartrato de brimonidina y maleato de timolol	Combinación Tartrato de Brimonidina y Maleato de Timolol
55866	clorhidrato de fingolimod	Clorhidrato de Fingolimod
55867	alcoholemia	Nivel de Alcohol en Sangre
55868	succinato de desvenlafaxina	Succinato de Desvenlafaxina
55869	clorhidrato de venlafaxina	Clorhidrato de Venlafaxina
55870	linezolid	Linezolid
55871	bimatoprost	Bimatoprost
55872	ranolazina	Ranolazina
55873	mesilato de imatinib	Mesilato de Imatinib
55874	celecoxib	Celecoxib
55875	darunavir	Darunavir
55876	rosuvastatina cálcica	Rosuvastatina Cálcica
55877	citrato de sildenafilo	Citrato de Sildenafil|Citrato de Sildenafilo
55878	combinación medicamentosa de fosfato de sitagliptina y clorhidrato de metformina	Combinación Fosfato de Sitagliptina y Clorhidrato de Metformina
55879	clorhidrato de colesevelam	Clorhidrato de Colesevelam
55880	dimesilato de lisdexanfetamina	Dimesilato de Lisdexanfetamina
55881	sevelámero	Carbonato de Sevelamer|Carbonato de Sevelámero|Clorhidrato de Sevelamer|Clorhidrato de Sevelámero|GT335-012|RenaGel|Sevelamer|Sevelámero|carbonato de sevelámero|clorhidrato de sevelámero|sevelamer
55882	clorhidrato de atomoxetina	Clorhidrato de Atomoxetina
55883	bromuro de tiotropio	Bromuro de Tiotropio
55884	pregabalina	Pregabalina
55885	clorhidrato de bendamustina	Clorhidrato de Bendamustina
55886	cobicistat	Cobicistat
55887	combinación medicamentosa de elvitegravir, cobicistat, emtricitabina y fumarato de tenofovir disoproxil	Combinación Elvitegravir, Cobicistat, Emtricitabina y Fumarato de Disoproxilo de Tenofovir|Combinación Elvitegravir, Cobicistat, Emtricitabina y Fumarato de Tenofovir Disoproxil|combinación medicamentosa de elvitegravir, cobicistat, emtricitabina y fumarato de disoproxilo de tenofovir
55888	rivastigmina	Rivastigmina
55889	dimetilfumarato	Dimetil Fumarato|Dimetilfumarato|Fumarato de Dimetilo
55890	combinación medicamentosa de adapaleno y peróxido de benzoílo	Combinación Adapaleno y Peróxido de Benzoílo
55891	paclitaxel unido a albúmina	Paclitaxel Unido a Albúmina
55892	combinación medicamentosa de aspirina y dipiridamol	Combinación Aspirina y Dipiridamol
55893	adapaleno	Adapaleno
55894	cinacalcet	AMG 073|AMG073|Cinacalcet|Clorhidrato de Cinacalcet|Hidrocloruro de (alfaR) Alfa-metil-N-(3-(3-(trifluorometil)fenil)propil)-1-naftalenmetanamina|KRN 1493|Sensipar|clorhidrato de cinacalcet|hidrocloruro de (alfaR) alfa-metil-N-(3-(3-(trifluorometil)fenil)propil)-1-naftalenmetanamina
55895	combinación medicamentosa de ezetimiba y simvastatina	Combinación Ezetimiba y Simvastatina
55896	everolimus	Everolimus
55897	rilpivirina	Rilpivirina
55898	combinación medicamentosa de emtricitabina, rilpivirina y tenofovir	Combinación Emtricitabina, Rilpivirina y Tenofovir
55899	ácido risedrónico	1-Hidroxi-2-(3-Piridil)Etilideno Difosfonato|1-hidroxi-2-(3-piridil)etilideno difosfonato|2-(3-Piridinil)-1-Hidroxietilideno-Bisfosfonato|2-(3-Piridinil)-1-Hidroxietilidenobisfosfonato|2-(3-piridinil)-1-hidroxietilideno-bisfosfonato|2-(3-piridinil)-1-hidroxietilidenobisfosfonato|Actonel|Atelvia|Bisfosfato de Risedronato Sódico|Bisfosfato de Risedronato de Sodio|Risedronato|Risedronato Sódico|Risedronato de Sodio|Sal Monosódica del Ácido Risedrónico|actonel|atelvia|bisfosfonato de risedronato sódico|risedronato|risedronato de sodio|risedronato sódico|sal monosódica del ácido risedrónico|Ácido Risedrónico|Ácido Risedrónico, Sal Monosódica|ácido risedrónico, sal monosódica
55900	tenofovir	Tenofovir
55901	combinación medicamentosa de efavirenz, emtricitabina y fumarato de tenofovir disoproxil	Combinación Efavirenz, Emtricitabina y Fumarato de Tenofovir Disoproxil
55902	combinación medicamentosa de emtricitabina y fumarato de tenofovir disoproxil	Combinación Emtricitabina y Fumarato de Tenofovir Disoproxil
55903	simeprevir	Simeprevir
55904	dasatinib	Dasatinib
55905	febuxostat	Febuxostat
55906	clorhidrato de lurasidona	Clorhidrato de Lurasidona
55907	fumarato de quetiapina	Fumarato de Quetiapina
55908	canagliflozina	Canagliflozina|Canagliflozina Anhidra
55909	clorhidrato de duloxetina	Clorhidrato de Duloxetina
55910	clorhidrato de prasugrel	Clorhidrato de Prasugrel
55911	rivaroxabán	Rivaroxabán
55912	combinación medicamentosa de buprenorfina y naloxona	Combinación Buprenorfina y Naloxona
55913	ezetimiba	Ezetimiba
55914	olmesartán medoxomilo	Benicar|CS 866|CS-866|CS866|Olmesartán Medoxomilo|Olmetec|Votum
55915	combinación medicamentosa de besilato de amlodipino y olmesartán medoxomilo	Combinación Besilato de Amlodipina y Olmesartán Medoxomilo|Combinación Besilato de Amlodipino y Olmesartán Medoxomilo
55916	diclorhidrato de vardenafilo	Diclorhidrato de Vardenafil|Dihidrocloruro de Vardenafil
55917	palmitato de paliperidona	Palmitato de Paliperidona
55918	atorvastatina	Atorvastatina|Atorvastatina Cálcica|Atorvastatina Cálcica Anhidra|Atorvastatina Cálcica Hidratada|Atorvastatina Cálcica Trihidratada|Atorvastatina de Calcio|CI 981|CI-981|CI981|Hidrato de Atorvastatina Cálcica|Lipitor|Liptonorm|Sal de Atorvastatina Cálcica|Trihidrato de Atorvastatina Cálcica|atorvastatina cálcica|atorvastatina cálcica anhidra|atorvastatina cálcica hidratada|atorvastatina cálcica trihidratada|hidrato de atorvastatina cálcica|sal cálcica de atorvastatina|Ácido (3R,5R)-7-(2-(4-fluorofenil)-5-isopropil-3-fenil-4-(fenilcarbamoil)-1H-pirrol-1-il)-3,5-dihidroxiheptanoico|ácido (3R,5R)-7-(2-(4-fluorofenil)-5-isopropil-3-fenil-4-(fenilcarbamoil)-1H-pirrol-1-il)-3,5-dihidroxiheptanoico
55919	valsartán	Valsartán
55920	combinación medicamentosa de amlodipino y valsartán	Combinación Amlodipino y Valsartán
55921	fosfato de sitagliptina	Fosfato de Sitagliptina
55922	aripiprazol	Aripiprazol
55923	eszopiclona	Eszopiclona
55924	clorhidrato de vilazodona	Clorhidrato de Vilazodona
55925	sulfato de atazanavir	Sulfato de Atazanavir
55926	tadalafilo	Tadalafilo
55927	dabigatrán	Dabigatrán
55928	capecitabina	Capecitabina
55929	emtricitabina	Emtricitabina
55930	sofosbuvir	Sofosbuvir
55931	raltegravir potásico	Raltegravir Potásico
55932	vareniclina	Vareniclina
55933	succinato de solifenacina	Succinato de Solifenacina
55934	linagliptina	Linagliptina
55935	pemetrexed	Pemetrexed
55936	clorhidrato de erlotinib	Clorhidrato de Erlotinib|Hidrocloruro de Erlotinib
55937	tartrato de brimonidina	Tartrato de Brimonidina
55938	clorhidrato de olopatadina	Clorhidrato de Olopatadina
55939	acetato de abiraterona	Acetato de Abiraterona
55940	fluticasona	Fluticasona
55941	etabonato de loteprednol	Etabonato de Loteprednol
55942	furoato de mometasona	Furoato de Mometasona
55943	dutasterida	Dutasterida|Dutasteride
55944	sistemas de translocación de proteínas	Sistemas de Translocación de Proteínas
55945	sistemas de secreción de tipo I	Sistemas de Secreción Tipo I
55946	sistemas de secreción de tipo II	Sistemas de Secreción Tipo II
55947	sistemas de secreción de tipo III	Sistemas de Secreción Tipo III
55948	sistemas de secreción de tipo IV	Sistemas de Secreción Tipo IV
55949	sistemas de secreción de tipo V	Sistemas de Secreción Tipo V
55950	sistemas de secreción de tipo VI	Sistemas de Secreción Tipo VI
55951	sistemas de secreción de tipo VII	Sistemas de Secreción Tipo VII
55952	sistemas de translocación de doble arginina	Sistema de Translocación de Arginina Gemela|Sistema de Translocación de Argininas Gemelas
55953	certolizumab pegol	Certolizumab Pegol
55954	liraglutida	Liraglutida
55955	insulina detemir	Insulina Detemir
55956	insulina glargina	Basaglar|Insulina Glargina
55957	insulina isófana humana	Insulina Isófana Humana
55958	ataxina -3	Ataxina-3
55959	ghee	Ghee
55960	aceite de oliva	Aceite de Oliva
55961	travoprost	Travoprost
55962	lubiprostona	Lubiprostona
55963	acetato de glatiramer	Acetato de Glatiramer
55964	alarminas	Alarminas|Moléculas de Patrones Moleculares Asociadas a Daño|Moléculas de Patrones Moleculares Asociadas a Peligro|Patrones Moleculares Asociados a Daño|Patrones Moleculares Asociados a Peligro|alarmina|moléculas de patrones moleculares asociadas a daño|moléculas de patrones moleculares asociadas a peligro
55965	interleucina-33	Interleucina-33
55966	proteína S100A12	Proteína S100A12
55967	epoetina alfa	Epoetina alfa
55968	filgrastim	Factor Estimulante de Colonia de Granulocito Humano Metionil-Recombinante|Filgrastim|Filgrastim-Sandoz|G-CSF Metionilado Humano Recombinante|G-CSF Recombinante Humano Metionilado|G-CSF metionilado humano recombinante|Granix|Tbo Filgrastim|Tbo-Filgrastim|Topneuter|Zarxio|tbo filgrastim|tbo-filgrastim
55969	interferón beta-1a	Interferón beta-1a
55970	interferón beta-1b	Interferon beta-1b
55971	orexinas	Orexinas
55972	omalizumab	Omalizumab
55973	adalimumab	Adalimumab|Adalimumab-adbm|Adalimumab-atto|Amjevita|Cyltezo
55974	bevacizumab	Bevacizumab|Bevacizumab awwb|Bevacizumab-awwb|Mvasi
55975	cetuximab	Cetuximab
55976	denosumab	Denosumab
55977	natalizumab	Natalizumab
55978	palivizumab	Palivizumab
55979	ranibizumab	Ranibizumab
55980	trastuzumab	Trastuzumab
55981	ustekinumab	Ustekinumab
55982	rituximab	Rituximab
55983	infliximab	Inflectra|Infliximab|Infliximab-abda|Infliximab-dyyb|MAb cA2|Renflexis|infliximab-abda|infliximab-dyyb
55984	abatacept	Abatacept
55985	etanercept	Enbrel|Erelzi|Etanercept|Etanercept-szzs
55986	ataxina-2	Ataxina-2
55987	proteínas con motivos de reconocimiento de ARN	Proteínas con Dominio de Unión a ARN|Proteínas con Dominios de Ribonucleoproteínas|Proteínas con Motivos de Reconocimiento de ARN|proteínas RRM|proteínas con RRM|proteínas con dominios de ribonucleoproteínas|proteínas del dominio de unión al ARN
55988	proteínas CELF	Proteínas CELF
55989	proteínas CELF1	Proteínas CELF1
55990	proteína 1 similar a ELAV	Proteína 1 Similar a ELAV|Proteína Similar a ELAV 1
55991	proteína 2 similar a ELAV	Proteína 2 Similar a ELAV|Proteína Similar a ELAV 2
55992	proteína 3 similar a ELAV	Proteína 3 Similar a ELAV|Proteína Similar a ELAV 3
55993	proteína 4 similar a ELAV	Proteína 4 Similar a ELAV|Proteína Similar a ELAV 4
55994	factores de corte y empalme ricos en serina y arginina	Factores de Empalme Serina-Arginina
55995	proteínas del suero de la leche	Proteína de Suero de Leche
55996	darbepoetina alfa	Darbepoetina alfa
55997	receptor de productos finales de la glicación avanzada	Proteína AGER|RPGA (Receptor para Productos Finales de Glicación Avanzada)|RPGA (Receptores de Productos de la Glicosilación Avanzada)|Receptor AGE|Receptor Específico de Productos Finales de Glicosilación Avanzada|Receptor Específico de Productos Finales de Glucosilación Avanzada|Receptor Específico de los Productos Finales de Glicosilación Avanzada|Receptor Específico de los Productos Finales de Glucosilación Avanzada|Receptor Específico para Productos Finales de Glicación Avanzada|Receptor Específico para Productos Finales de Glicosilación Avanzada|Receptor Específico para Productos Finales de Glucosilación Avanzada|Receptor Específico para los Productos Finales de Glicosilación Avanzada|Receptor RAGE para Productos Finales de Glicación Avanzada|Receptor de Anfotericina|Receptor de Producto Final de Glicosilación Avanzada|Receptor de Productos Finales de Glicosilación Avanzada|Receptor para Anfoterina|Receptor para Productos Finales de Glicación Avanzada|Receptor para Productos Finales de Glicación Avanzada (RPGA)|Receptor para Productos Finales de Glucación Avanzada|Receptor para los Productos Finales de Glicación Avanzada|Receptores Específicos de Productos Finales de Glicosilación Avanzada|Receptores Específicos de Productos Finales de Glucosilación Avanzada|Receptores Específicos de los Productos Finales de Glicosilación Avanzada|Receptores Específicos de los Productos Finales de Glucosilación Avanzada|Receptores Específicos para Productos Finales de Glicación Avanzada|Receptores Específicos para Productos Finales de Glicosilación Avanzada|Receptores Específicos para Productos Finales de Glucosilación Avanzada|Receptores de Productos Finales de Glucosilación Avanzada|Receptores de Productos de la Glicosilación Avanzada (RPGA)|Receptores para Producto Final de Glicación Avanzada|Receptores para Producto Final de Glicosilación Avanzada|Receptores para Productos Finales de Glicosilación Avanzada|Receptores para los Productos Finales de Glicosilación Avanzada|receptor de productos finales de la glucosilación avanzada|receptor específico de productos finales de la glicosilación avanzada
55998	receptores del péptido similar al glucagón	Receptores de Péptidos Similares al Glucagón
55999	receptor del péptido 1 Similar al glucagón	Receptor del Péptido 1 Similar al Glucagón
56000	receptor del péptido 2 Similar al glucagón	Receptor del Péptido 2 Similar al Glucagón
56001	ataxinas	Ataxinas
56002	ataxina-1	Ataxina-1
56003	ataxina-7	Ataxina-7
56004	ataxina-10	Ataxina-10
56005	corona de proteínas	Corona de Proteínas
56006	sitios internos de entrada al ribosoma	Sitio Interno de Entrada a Ribosoma|Sitio Interno de Entrada de Ribosomas|Sitio Interno de Entrada del Ribosoma|Sitios Internos de Entrada al Ribosoma|sitio interno de entrada a ribosoma|sitio interno de entrada de ribosomas|sitio interno de entrada del ribosoma
56007	té kombucha	Té de Kombucha
56008	tés de hierbas	Infusiones de Hierbas|Té Herbal|Té Herbario|Té de Hierbas|Tés Herbales|Tés Herbarios|Tés de Hierbas|infusiones de hierbas|té de hierbas|té herbal|tés herbales
56009	vacuna neumocócica conjugada heptavalente	Vacuna Neumocócica Conjugada Heptavalente|Vacuna Neumocócica Heptavalente Conjugada|vacuna neumocócica heptavalente conjugada
56010	vacuna tetravalente recombinante contra los virus del papiloma humano, tipos 6,11,16,18	Vacuna Cuadrivalente Recombinante contra el Virus del Papiloma Humano (Tipo 6, 11 , 16, 18)|Vacuna Recombinante Tetravalente contra HPV serotipos 6, 11, 16 y 18|Vacuna Tetravalente Recombinante contra el Virus del Papiloma Humano Tipos 6, 11 , 16, 18
56011	moléculas de patrón molecular asociado a patógenos	Moléculas de Patrón Molecular Asociado a Patógenos|Patrón Molecular Asociado a Patógenos
56012	productos de cosmecéutica	Cosmecéuticos
56013	inhibidores de la adenilil ciclasa	Inhibidores de Adenil Ciclasa|Inhibidores de Adenilato Ciclasa|Inhibidores de Adenilciclasa|Inhibidores de Adenilil Ciclasa|Inhibidores de Adenililciclasa
56014	inhibidores de poli(ADP-ribosa) polimerasas	Inhibidores de Poli(ADP-Ribosa) Polimerasas
56015	inhibidores de la recaptación de serotonina y noradrenalina	Inhibidor de la Recaptación de Serotonina y Noradrenalina|Inhibidores de Captación de Serotonina y Norepinefrina|Inhibidores de la Recaptación de Serotonina y Noradrenalina|inhibidor de la recaptación de serotonina y norepinefrina|inhibidores de la recaptación de serotonina y norepinefrina
56016	antagonistas de los receptores de orexina	Antagonistas de los Receptores de Orexina
56017	pastillas para dormir	Fármacos Inductores del Sueño|Medicamentos Inductores del Sueño|Pastillas para Dormir|Píldoras para Dormir|Somnífero|Somníferos|fármacos inductores del sueño|somnífero|somníferos
56018	rellenos dérmicos	Rellenos Dérmicos
56019	agentes nerviosos	Agentes Nerviosos
56020	toma de decisiones clínicas	Toma de Decisiones Clínicas
56021	artrocentesis	Artrocentesis
56022	toracocentesis	Toracocentesis
56023	timpanocentesis	Timpanocentesis
56024	microscopía intravital	Imagen Intravital|Microscopía Intravital|imagen intravital
56025	electrocorticografía	Electrocorticografía
56026	cirugía endoscópica transanal	Cirugía Endoscópica Transanal|Cirugía Transanal Mínimamente Invasiva|cirugía transanal mínimamente invasiva
56027	microcirugía endoscópica transanal	Microcirugía Endoscópica Transanal
56028	pruebas dirigidas al consumidor	Pruebas Dirigidas al Consumidor
56029	evaluación preoperatoria	Evaluación Preoperatoria
56030	apariencia física	Apariencia Física
56031	escala de movimientos involuntarios anormales	Escala de Movimientos Involuntarios Anormales
56032	fallo de rescate en la atención a la salud	Fracaso de Rescate en Atención a la Salud
56033	nanomedicina tratanóstica	Nanomedicina Teranóstica|Nanomedicina Tratanóstica|Nanoteranóstica|Nanotratanóstica|Teranóstica|Tratanóstica|nanomedicina teranóstica|nanoteranóstica|nanotratanóstica|teranóstica|tratanóstica
56034	trasplante fecal	Trasplante Fecal|Trasplante de Microbiota Fecal|trasplante de microbiota fecal
56035	tratamiento basado en ARN de interferencia	Terapéutica con ARNi|Terapéutica con RNAi|Terapéutica de ARNi|Terapéutica de RNAi|Tratamiento Basado en ARN de Interferencia|Tratamiento Basado en ARNi|Tratamiento con ARN de Interferencia|Tratamiento con ARNi|Tratamiento con RNA de Interferencia|Tratamiento con RNAi|Tratamiento de ARN de Transferencia|Tratamiento de ARNi|tratamiento basado en ARNi
56036	biorresonancia	Terapia por Biorresonancia
56037	cuidados de transición	Cuidado de Transición
56038	inyección intratimpánica	Inyección Intratimpánica
56039	casi error	Near Miss Salud
56040	deprescripciones	Deprescripciones|Deprescripción|Desprescripciones|Desprescripción
56041	abuso de medicamentos con receta	Sobrecarga de Medicamentos|Sobreuso de Fármacos|Sobreuso de Medicamentos|Sobreuso del Medicamento|Sobreutilización de Fármacos|Sobreutilización de Medicamentos|Sobreutilización del Medicamento|Uso Excesivo de Medicamentos|Uso Excesivo de Medicamentos Recetados|Uso Excesivo del Medicamento
56042	dieta vegana	Dieta Vegana|dieta vegan
56043	hipofraccionamiento de la dosis de radiación	Dosis Hipofraccionada de Radiación|Dosis de Radiación Hipofraccionada|Hipofraccionamiento de la Dosis de Radiación|Hipofraccionamiento de la Dosis en Radiación|Hipofraccionamiento de la Dosis en Radioterapia|Hipofraccionamientos de la Dosis en Radioterapia|Minihaces de Radioterapía|Minihaz de Radioterapía|dosis de radiación hipofraccionada|dosis hipofraccionada de radiación|hipofraccionamiento de la dosis de radioterapia|hipofraccionamientos de la dosis de radioterapia|minihaces de radioterapía|minihaz de radioterapía|radioterapia con minihaces
56044	reirradiación	Re-Irradiación|Reirradiación
56045	neurorrehabilitación	Rehabilitación Neurológica
56046	telerrehabilitación	Telerehabilitación|Telerrehabilitación
56047	reemplazo mitocondrial	Terapia de Reemplazo Mitocondrial
56048	corrección anatómica de la transposición de las grandes arterias	Operación de Switch Arterial
56049	morcelación	Morcelación
56050	traquelectomía	Traquelectomía
56051	dispersión dinámica de luz	Dispersión Dinámica de Luz
56052	espectro de acción	Espectro de Acción
56053	técnicas de reprogramación celular	Técnicas de Reprogramación Celular
56054	precisión de los datos	Exactitud de los Datos
56055	tarjetas inteligentes de salud	Tarjetas Inteligentes de Salud
56056	encuestas de prevalencia de uso de anticonceptivos	Encuestas de Prevalencia Anticonceptiva
56057	análisis modal de fallos y efectos en la atención a la salud	Análisis de Modo y Efecto de Fallas en la Atención de la Salud
56058	regresión espacial	Regresión Espacial
56059	estudios clínicos como asunto	Estudios Clínicos como Asunto|Estudios Clínicos como Tema|estudios clínicos como tema
56060	dilema del prisionero	Dilema del Prisionero
56061	preparación de corazón aislado	Preparación de Corazón Aislado|Preparación del Corazón Aislado
56062	técnicas de observación conductual	Técnicas de Observación Conductual
56063	selección artificial	Crianza Selectiva|Cría Selectiva|Reproducción Selectiva|Selección Artificial|crianza selectiva|cría selectiva|reproducción selectiva
56064	exoesqueleto mecánico	Dispositivo Exoesqueleto
56065	humidificadores	Humidificadores
56066	equipos de protección individual	Equipo de Protección Personal|Equipos de Protección Personal
56067	stents metálicos autoexpandibles	Endoprótesis Metálicas Autoexpandibles|Stents Metálicos Autoexpandibles|endoprótesis metálicas autoexpandibles
56068	ajuste emocional	Ajuste Emocional|ajuste psicológico
56069	optimismo	Optimismo|Pensamiento Positivo|pensamiento positivo
56070	pesimismo	Pensamiento Negativo|Pesimismo|pensamiento negativo
56071	consumo de alcohol en menores de edad	Consumo Alcohólico por Menores|Consumo de Alcohol en Adolescentes|Consumo de Alcohol en Menores|Consumo de Alcohol en la Adolescencia|Consumo de Alcohol por Adolescentes|Consumo de Bebidas Alcohólicas en la Adolescencia|Consumo de Bebidas Alcohólicas por Menores|Consumo de Bebidas Alcohólicas por Niños|Consumo de Bebidas Alcohólicas por los Adolescentes
56072	conducta problemática	Conducta Problemática|Problema de Conducta|Psicología del Comportamiento Disfuncional|conducta disfuncional en psicología|problema de conducta|psicología del comportamiento disfuncional
56073	alfabetización	Alfabetización|Analfabetismo|analfabetismo
56074	conducta delictiva	Comportamiento Criminal|Conducta Criminal
56075	conducir bajo la influencia	Conducir bajo Influencia|Conducir bajo la Influencia|conducir bajo influencia
56076	consumo de alcohol en la universidad	Consumo de Alcohol en la Universidad
56078	pacientes no presentados	Pacientes no Presentados
56079	conducta de búsqueda de ayuda	Comportamiento de Búsqueda de Ayuda|Comportamientos de Búsqueda de Ayuda|Conducta de Búsqueda de Ayuda|Conductas de Búsqueda de Ayuda
56080	autocontrol	Autocontrol
56081	abuelos	Abuelos
56082	diplomacia	Diplomacia
56083	influencia de pares	Influencia de los Compañeros
56084	metacognición	Conciencia Metacognitiva|Control Metacognitivo|Metacognición|Metaemoción|Monitoreo Metacognitivo|Supervisión Metacognitiva|conciencia metacognitiva|control metacognitivo|metaemoción|supervisión metacognitiva
56085	consolidación de la memoria	Consolidación de la Memoria
56086	heurística	Heurística
56087	reconocimiento facial	Reconocimiento Facial
56088	asesoramiento a distancia	Asesoramiento Electrónico|Asesoramiento a Distancia|Asesoría Electrónica|Asesoría a Distancia|Consejería Electrónica|Consejería a Distancia|Terapia Electrónica|Terapias Electrónicas|Tratamiento Electrónico|Tratamientos Electrónicos|asesoramiento electrónico|asesoría a distancia|asesoría electrónica|consejería a distancia|consejería electrónica|e-Asesoramiento|e-Asesoría|e-Consejería|e-Terapia|e-Terapias|e-Tratamiento|e-Tratamientos|e-asesoramiento|e-asesoría|e-consejería|e-terapia|e-terapias|e-tratamiento|e-tratamientos|eAsesoramiento|eAsesoría|eConsejería|eTerapia|eTerapias|eTratamiento|eTratamientos|easesoramiento|easesoría|econsejería|eterapia|eterapias|etratamiento|etratamientos|terapia electrónica|terapias electrónicas|tratamiento electrónico|tratamientos electrónicos
56089	retroalimentación formativa	Retroalimentación Formativa
56090	aprendizaje social	Aprendizaje Social
56091	presentismo	Presentismo
56092	trastorno de acaparamiento	Acaparamiento Obsesivo|Síndrome de Diógenes|Trastorno de Acumulación|acaparamiento obsesivo|síndrome de Diógenes
56093	trastorno bipolar y trastornos relacionados	Trastornos Bipolares y Relacionados|Trastornos Bipolares y Trastornos Relacionados
56094	trastornos motores	Trastornos Motores
56095	trastornos del desarrollo neurológico	Trastorno del Neurodesarrollo|Trastornos del Neurodesarrollo|trastorno del neurodesarrollo|trastornos mentales diagnosicados en el lactante, niño o adolescente|trastornos mentales diagnosticados en la infancia|trastornos mentales diagnosticados en la niñez|trastornos mentales infantiles
56096	trastorno del espectro del autismo	Trastorno del Espectro Autista
56097	trastorno de fluidez de inicio en la infancia	Trastorno de Fluidez de Inicio en la Infancia
56098	trastorno de la comunicación social	Trastorno de Comunicación Social|Trastorno de la Comunicación Social
56099	trastorno fonológico	Trastorno Fonológico
56100	trastorno específico del aprendizaje	Trastorno Específico de Aprendizaje
56101	disforia de género	Disforia de Género|Disforia de la Identidad de Género
56102	trastornos relacionados con traumas y factores de estrés	Trastornos Relacionados con Trauma y Estrés
56103	trauma psicológico	Trauma Psicológico
56104	psicología ambiental	Psicología Ambiental
56105	neurociencia cognitiva	Neurociencia Cognitiva
56106	psicología del deporte	Psicología del Deporte
56107	escala de evaluación de la conducta	Escala de Evaluación Comportamental|Escala de Evaluación Conductual|Escala de Evaluación de la Conducta|Escala de Evaluación del Comportamiento|Escala de Valoración Comportamental|Escala de Valoración Conductual|Escala de Valoración de Comportamiento|Escala de Valoración de la Conducta|Escala de Valoración del Comportamiento
56108	terapia de manejo de la ira	Terapia de Manejo de la Ira
56109	iridiscencia	Iridiscencia
56111	ondas ultrasónicas	Ondas Ultrasónicas
56112	autorrenovación de las células	Auto Renovación de las Células|Autorrenovación Celular|Autorrenovación de las Células
56113	piroptosis	Piroptosis
56114	plasticidad celular	Plasticidad de la Célula
56115	trasfondo genético	Antecedentes Genéticos
56116	expresión ectópica de un gen	Expresión Génica Ectópica
56117	acumulación de mutaciones	Acumulación de Mutaciones
56118	mutación silente	Mutación Silenciosa
